Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed\
Ja Morant\\moranja01,MEM,8730240,9166800,9603360,12119440,,,1st Round Pick,$17897040\
Jabari Parker\\parkeja01,SAC,6500000,6500000,,,,,Cap Space,$6500000\
Jacob Evans\\evansja02,MIN,1925880,2017320,3641263,,,,1st Round Pick,$3943200\
Jae Crowder\\crowdja01,MIA,7815533,,,,,,Bird Rights,$7815533\
Jahlil Okafor\\okafoja01,NOP,1702486,,,,,,Minimum Salary,$1702486\
JaKarr Sampson\\sampsja02,IND,1737145,,,,,,Minimum Salary,$1737145\
Jake Layman\\laymaja01,MIN,3581986,3761085,3940184,,,,Sign and Trade,$11283255\
Jakob Poeltl\\poeltja01,SAS,3754886,,,,,,1st Round pick,$3754886\
Jalen Brunson\\brunsja01,DAL,1416582,1663861,1802057,,,,Cap Space,$3080443\
Jalen Lecque\\lecquja01,PHO,898310,1517981,1782621,1930681,,,Cap Space,$2416291\
Jalen McDaniels\\mcdanja01,CHO,898310,1517981,1782621,1930681,,,Minimum Salary,$898310\
Jamal Crawford\\crawfja01,BRK,289803,,,,,,Minimum Salary,$289803\
Jamal Murray\\murraja01,DEN,4444746,29250000,31590000,33930000,36270000,38610000,1st Round pick,$174094746\
James Ennis\\ennisja01,ORL,1882867,2071978,,,,,Minimum Salary,$1882867\
James Harden\\hardeja01,HOU,37800000,40824000,43848000,46872000,,,Bird Rights,$122472000\
James Johnson\\johnsja01,MIN,15349400,16047100,,,,,Cap space,$15349400\
JaMychal Green\\greenja01,LAC,4767000,5005350,,,,,Room Exception,$4767000\
Jared Dudley\\dudleja01,LAL,2564753,,,,,,Minimum Salary,$2564753\
Jaren Jackson\\jacksja02,MEM,6927480,7257360,9180560,,,,1st Round Pick,$14184840\
Jarred Vanderbilt\\vandeja01,MIN,1416852,1663861,,,,,Cap Space,$1416852\
Jarrett Allen\\allenja01,BRK,2376840,3909902,,,,,1st Round Pick,$6286742\
Jarrett Culver\\culveja01,MIN,5813640,6104280,6395160,8109063,,,1st Round Pick,$11917920\
JaVale McGee\\mcgeeja01,LAL,4000000,4200000,,,,,Cap Space,$8200000\
Javonte Green\\greenja02,BOS,898310,1517981,,,,,Minimum Salary,$898310\
Jaxson Hayes\\hayesja02,NOP,4862040,5105160,5348280,6803012,,,1st Round Pick,$9967200\
Jaylen Brown\\brownja02,BOS,6534829,22991071,24830357,26669643,28508929,,1st Round pick,$109534829\
Jaylen Nowell\\nowelja01,MIN,1400000,1517981,1782621,1930681,,,MLE,$1400000\
Jayson Tatum\\tatumja01,BOS,7830000,9897120,,,,,1st Round Pick,$17727120\
Jeff Teague\\teaguje01,ATL,19000000,,,,,,Cap space,$19000000\
Jemerrio Jones\\jonesje01,WAS,199000,,,,,,,$199000\
Jerami Grant\\grantje01,DEN,9346153,9346153,,,,,Bird Rights,$9346153\
Jeremy Lamb\\lambje01,IND,10500000,10500000,10500000,,,,Cap Space,$31500000\
Jeremy Pargo\\pargoje01,GSW,91557,,,,,,,$91557\
Jerian Grant\\grantje02,WAS,196288,,,,,,Minimum Salary,$196288\
Jerome Robinson\\robinje01,WAS,3567720,3737520,5340916,,,,1st Round Pick,$7305240\
Jevon Carter\\carteje01,PHO,1416852,,,,,,MInimum Salary,$1416852\
Jimmy Butler\\butleji01,MIA,32742000,34379100,36016200,37653300,,,Sign and Trade,$103137300\
Joe Chealey\\chealjo01,CHO,163356,,,,,,,$163356\
Joe Harris\\harrijo01,BRK,7670000,,,,,,Early Bird Rights,$7670000\
Joe Ingles\\inglejo01,UTA,11954546,10863637,14000000,,,,Bird Rights,$36818183\
Joe Johnson\\johnsjo02,DET,220000,,,,,,,$220000\
Joel Embiid\\embiijo01,PHI,27504630,29542010,31579390,33616770,,,1st Round Pick,$122242800\
John Collins\\collijo01,ATL,2686560,4137302,,,,,1st Round Pick,$6823862\
John Henson\\hensojo01,DET,9732396,,,,,,1st Round Pick,$9732396\
John Wall\\walljo01,WAS,37800000,40824000,43848000,46872000,,,Bird Rights,$122472000\
Johnathan Williams\\willijo04,WAS,106181,,,,,,,$106181\
Jon Leuer\\leuerjo01,MIL,3169348,3169348,3169347,,,,,$9508043\
Jonas Valanciunas\\valanjo01,MEM,16000000,15000000,14000000,,,,Bird Rights,$45000000\
Jonathan Isaac\\isaacjo01,ORL,5806440,7362566,,,,,1st Round Pick,$13169006\
Jonathon Simmons\\simmojo02,WAS,1000000,,,,,,,$1000000\
Jontay Porter\\portejo01,MEM,197933,1517981,,,,,Minimum Salary,$197933\
Jordan Clarkson\\clarkjo01,UTA,13437500,,,,,,Cap Space,$13437500\
Jordan McRae\\mcraejo01,DET,1645357,,,,,,Minimum Salary,$1645357\
Jordan Poole\\poolejo01,GSW,1964760,2063280,2161440,3901399,,,1st Round Pick,$4028040\
Josh Hart\\hartjo01,NOP,1934160,3491159,,,,,1st Round Pick,$5425319\
Josh Jackson\\jacksjo02,MEM,7059480,,,,,,1st Round Pick,$7059480\
Josh Magette\\magetjo01,ORL,81678,,,,,,,$81678\
Josh Okogie\\okogijo01,MIN,2530680,2651040,4087904,,,,1st Round Pick,$5181720\
Josh Richardson\\richajo01,PHI,10100000,10800000,11600000,,,,Minimum Salary,$20900000\
Josh Smith\\smithjo03,DET,5331729,,,,,,,$5331729\
Jrue Holiday\\holidjr01,NOP,26131111,26131111,27020000,,,,Bird Rights,$52262222\
Juan Hernangomez\\hernaju01,MIN,3321030,,,,,,1st Round pick,$3321030\
Juan Toscano-Anderson\\toscaju01,GSW,350189,1517981,1782621,,,,MLE,$350189\
Julius Randle\\randlju01,NYK,18000000,18900000,19800000,,,,Cap Space,$40900000\
Justin Hamilton\\hamilju01,TOR,1000000,,,,,,,$1000000\
Justin Holiday\\holidju01,IND,4767000,,,,,,Room Exception,$4767000\
Justin Jackson\\jacksju01,DAL,3280920,5029650,,,,,1st Round Pick,$8310570\
Justin James\\jamesju01,SAC,898310,1517981,1782621,,,,Minimum Salary,$2416291\
Justin Robinson\\robinju01,WAS,395866,,,,,,,$395866\
Justise Winslow\\winslju01,MEM,13000000,13000000,13000000,,,,1st Round Pick,$26000000\
Jusuf Nurkic \\nurkiju01,POR,12000000,12000000,12000000,,,,Bird Rights,$28000000\
Juwan Morgan\\morgaju01,UTA,746054,,,,,,Minimum Salary,$746054\
Karl-Anthony Towns\\townska01,MIN,27250000,29430000,31610000,33790000,35970000,,1st Round Pick,$155870000\
Kawhi Leonard\\leonaka01,LAC,32742000,34379100,36016200,,,,Cap Space,$67121100\
Keita Bates-Diop\\bateske01,DEN,1416852,1663861,,,,,MLE,$1416852\
Keldon Johnson\\johnske04,SAS,1950600,2048040,2145720,3873025,,,1st Round Pick,$3998640\
